═══ GHEG (KOSOVO-ALBANISCH) LERNSÄTZE ═══
  1012 Sätze in 9 Schwierigkeitsstufen
  Format: L# | ### | Gheg (Kosovo) | Deutsch
L1 | 036 | Sa vjet je? | Wie alt bist du?
L1 | 037 | Jam pesë vjet. | Ich bin fünf Jahre alt.
L1 | 038 | A po don ujë? | Willst du Wasser?
L1 | 039 | Po, dua. | Ja, ich will.
L1 | 040 | Jo, s'dua. | Nein, ich will nicht.
L1 | 041 | Un kam nji vlla. | Ich habe einen Bruder.
L1 | 042 | Un kam nji motër. | Ich habe eine Schwester.
L1 | 043 | Ajo ka nji macë. | Sie hat eine Katze.
L1 | 044 | Ai ka nji qen. | Er hat einen Hund.
L1 | 045 | Nana asht këtu. | Mama ist hier.
L1 | 046 | Babi asht atje. | Papa ist dort.
L1 | 047 | Un kam uri. | Ich habe Hunger.
L1 | 048 | Un kam etje. | Ich habe Durst.
L1 | 049 | Kjo asht shpi. | Das ist ein Haus.
L1 | 050 | Kjo asht bukë. | Das ist Brot.
L1 | 051 | Ky asht djathë. | Das ist Käse.
L1 | 052 | Kjo asht kafe. | Das ist Kaffee.
L1 | 053 | Ky asht çaj. | Das ist Tee.
L1 | 054 | Ky asht ujë. | Das ist Wasser.
L1 | 055 | Kjo asht qumësht. | Das ist Milch.
L1 | 056 | Ajo asht e bukur. | Sie ist schön.
L1 | 057 | Ai asht i mirë. | Er ist gut.
L1 | 058 | Ajo asht e vogël. | Sie ist klein.
L1 | 059 | Ai asht i madh. | Er ist groß.
L1 | 060 | Un jam i lumtun. | Ich bin glücklich.
L1 | 061 | Ti je i lodhun. | Du bist müde.
L1 | 062 | Ajo asht e gëzueme. | Sie ist fröhlich.
L1 | 063 | Nji. | Eins.
L1 | 064 | Dy. | Zwei.
L1 | 065 | Tre. | Drei.
L1 | 066 | Katër. | Vier.
L1 | 067 | Pesë. | Fünf.
L1 | 068 | Gjashtë. | Sechs.
L1 | 069 | Shtatë. | Sieben.
L1 | 070 | Tetë. | Acht.
L1 | 071 | Nëntë. | Neun.
L1 | 072 | Dhjetë. | Zehn.
L1 | 073 | Kjo asht libër. | Das ist ein Buch.
L1 | 074 | Ky asht laps. | Das ist ein Bleistift.
L1 | 075 | Kjo asht tryezë. | Das ist ein Tisch.
L1 | 076 | Ky asht shtrat. | Das ist ein Bett.
L1 | 077 | Kjo asht derë. | Das ist eine Tür.
L1 | 078 | Kjo asht dritare. | Das ist ein Fenster.
L1 | 079 | Çka asht kjo? — Kjo asht mollë. | Was ist das? — Das ist ein Apfel.
L1 | 080 | Çka asht ai? — Ai asht mish. | Was ist das? — Das ist Fleisch.
L1 | 081 | Kush je ti? — Un jam shoku. | Wer bist du? — Ich bin der Freund.
L1 | 082 | A je gati? | Bist du bereit?
L1 | 083 | Po, jam gati. | Ja, ich bin bereit.
L1 | 084 | A ki etje? | Hast du Durst?
L1 | 085 | Po, kam etje. | Ja, ich habe Durst.
L1 | 086 | A don kafe? | Willst du Kaffee?
L1 | 087 | Jo, dua çaj. | Nein, ich will Tee.
L1 | 088 | Sot asht dit e mirë. | Heute ist ein guter Tag.
L1 | 089 | Tash asht vonë. | Jetzt ist es spät.
L1 | 090 | A asht larg? | Ist es weit?
L1 | 091 | Jo, asht afër. | Nein, es ist nah.
L1 | 092 | Kjo asht lule. | Das ist eine Blume.
L1 | 093 | Un dua me pa. | Ich will sehen.
L1 | 094 | A don me hangër? | Willst du essen?
L1 | 095 | Po, dua me hangër. | Ja, ich will essen.
L1 | 096 | A don me pi? | Willst du trinken?
L1 | 097 | Po, dua me pi ujë. | Ja, ich will Wasser trinken.
L1 | 098 | Kjo asht shkollë. | Das ist eine Schule.
L1 | 099 | Ai asht puntor. | Er ist Arbeiter.
L1 | 100 | Kjo asht çikë e vogël. | Das ist ein kleines Mädchen.
L1 | 101 | Ky asht djalë i vogël. | Das ist ein kleiner Junge.
L1 | 102 | Un kam nji shok. | Ich habe einen Freund.
L1 | 103 | Ajo ka nji shoqe. | Sie hat eine Freundin.
L1 | 104 | Ai asht i ri. | Er ist jung.
L1 | 105 | Ajo asht e re. | Sie ist jung.
L1 | 106 | Gëzuar! | Prost! / Herzlichen Glückwunsch!
L1 | 107 | Të bëftë mirë! | Guten Appetit!
L1 | 108 | Kjo asht pjatë. | Das ist ein Teller.
L1 | 109 | Ky asht pirun. | Das ist eine Gabel.
L1 | 110 | Kjo asht lugë. | Das ist ein Löffel.
L1 | 111 | Kjo asht gotë. | Das ist ein Glas.
L1 | 112 | Un jam në shpi. | Ich bin zu Hause.
══════════════════════════════════════════════════
LEVEL 2 — ANFÄNGER — Familie, Essen, Alltag, einfache Verben
111 Sätze
══════════════════════════════════════════════════

L2 | 001 | Nana ka nji djalë e nji çikë. | Mama hat einen Sohn und eine Tochter.
L2 | 002 | Babi punon në zyrë. | Papa arbeitet im Büro.
L2 | 003 | Un kam nji vlla e nji motër. | Ich habe einen Bruder und eine Schwester.
L2 | 004 | Vllaznit janë në shpi. | Die Brüder sind zu Hause.
L2 | 005 | Motrat janë në shkollë. | Die Schwestern sind in der Schule.
L2 | 006 | Gjyshi asht në kopsht. | Opa ist im Garten.
L2 | 007 | Gjyshja asht në kuzhinë. | Oma ist in der Küche.
L2 | 008 | Dajë jeton në Prishtinë. | Der Onkel (mütterlich) wohnt in Prishtina.
L2 | 009 | Halla asht prej Gjilani. | Die Tante (väterlich) ist aus Gjilan.
L2 | 010 | Xhaja ka nji veturë të re. | Der Onkel (väterlich) hat ein neues Auto.
L2 | 011 | Un ha bukë me djathë. | Ich esse Brot mit Käse.
L2 | 012 | Ti pi qumësht në mëngjes. | Du trinkst Milch am Morgen.
L2 | 013 | Ai ha mish me patate. | Er isst Fleisch mit Kartoffeln.
L2 | 014 | Ajo pi çaj me mjaltë. | Sie trinkt Tee mit Honig.
L2 | 015 | Un dua me hangër supë. | Ich will Suppe essen.
L2 | 016 | Ti dua me pi lëng portokalli. | Du willst Orangensaft trinken.
L2 | 017 | Na hamë drekë në mesditë. | Wir essen Mittagessen am Mittag.
L2 | 018 | Ju hani darkë në mbrëmje. | Ihr esst Abendessen am Abend.
L2 | 019 | Ata hanë bukë në tryezë. | Sie essen Brot am Tisch.
L2 | 020 | Un shkoj në punë çdo ditë. | Ich gehe jeden Tag zur Arbeit.
L2 | 021 | Ti shkon në shkollë në mëngjes. | Du gehst am Morgen zur Schule.
L2 | 022 | Ajo shkon në pazar me nanën. | Sie geht mit Mama zum Markt.
L2 | 023 | Na shkojmë në xhami. | Wir gehen in die Moschee.
L2 | 024 | Un flas shqip me shokë. | Ich spreche Albanisch mit Freunden.
L2 | 025 | Ti flet gjermanisht me mua. | Du sprichst Deutsch mit mir.
L2 | 026 | Ai flet anglisht në shkollë. | Er spricht Englisch in der Schule.
L2 | 027 | Nana gatuan ushqim të shijshëm. | Mama kocht leckeres Essen.
L2 | 028 | Babi blen bukë në furrë. | Papa kauft Brot in der Bäckerei.
L2 | 029 | Un laj enët pas darke. | Ich spüle das Geschirr nach dem Abendessen.
L2 | 030 | Ti lan duart para se me hangër. | Du wäschst die Hände vor dem Essen.
L2 | 031 | Ajo hekuros rrobat. | Sie bügelt die Kleidung.
L2 | 032 | Un pi kafe në mëngjes. | Ich trinke Kaffee am Morgen.
L2 | 033 | Ti pi ujë prej shishes. | Du trinkst Wasser aus der Flasche.
L2 | 034 | Fëmijët luajnë në oborr. | Die Kinder spielen im Hof.
L2 | 035 | Qeni fle në shtrat. | Der Hund schläft im Bett.
L2 | 036 | Macja ha peshk në kuzhinë. | Die Katze isst Fisch in der Küche.
L2 | 037 | Un kam nji libër të ri. | Ich habe ein neues Buch.
L2 | 038 | Ti ke nji laps të kuq. | Du hast einen roten Bleistift.
L2 | 039 | Ajo ka nji fustan të bukur. | Sie hat ein schönes Kleid.
L2 | 040 | Na kemi nji shpi të madhe. | Wir haben ein großes Haus.
L2 | 041 | Ata kanë nji veturë të shpejtë. | Sie haben ein schnelles Auto.
L2 | 042 | Kjo dhomë asht e vogël. | Dieses Zimmer ist klein.
L2 | 043 | Ai kopsht asht i bukur. | Dieser Garten ist schön.
L2 | 044 | Un dua me shkue në det. | Ich will ans Meer gehen.
L2 | 045 | Ti dua me ardhë me mua. | Du willst mit mir kommen.
L2 | 046 | Ajo dua me fjet tash. | Sie will jetzt schlafen.
L2 | 047 | Un lahem në banjë. | Ich wasche mich im Badezimmer.
L2 | 048 | Ti lahesh në mëngjes. | Du wäschst dich am Morgen.
L2 | 049 | Ai vishet në dhomë gjumi. | Er zieht sich im Schlafzimmer an.
L2 | 050 | Ajo kreh flokët para pasqyrës. | Sie kämmt die Haare vor dem Spiegel.
L2 | 051 | Un bëj kafe për babin. | Ich mache Kaffee für Papa.
L2 | 052 | Ti bën shtratin në mëngjes. | Du machst das Bett am Morgen.
L2 | 053 | Ne pastrojmë shpinë. | Wir putzen das Haus.
L2 | 054 | Un ha mëngjes në orën shtatë. | Ich frühstücke um sieben Uhr.
L2 | 055 | Ai ha drekë në punë. | Er isst Mittagessen bei der Arbeit.
L2 | 056 | Ajo ha darkë me familjen. | Sie isst Abendessen mit der Familie.
L2 | 057 | Djalë luan futboll në fushë. | Der Junge spielt Fußball auf dem Feld.
L2 | 058 | Çika lexon nji libër. | Das Mädchen liest ein Buch.
L2 | 059 | Un shof televizor në mbrëmje. | Ich sehe fern am Abend.
L2 | 060 | Ti dëgjon muzikë në radio. | Du hörst Musik im Radio.
L2 | 061 | Un dua me mësue gjuhë shqipe. | Ich will Albanisch lernen.
L2 | 062 | Ai shkruan me stilograf. | Er schreibt mit einem Kugelschreiber.
L2 | 063 | Ajo vizaton nji lule. | Sie zeichnet eine Blume.
L2 | 064 | Molla asht e kuqe. | Der Apfel ist rot.
L2 | 065 | Qumështi asht i bardhë. | Die Milch ist weiß.
L2 | 066 | Kafeja asht e zezë. | Der Kaffee ist schwarz.
L2 | 067 | Qielli asht blu. | Der Himmel ist blau.
L2 | 068 | Bari asht gjelbër. | Das Gras ist grün.
L2 | 069 | Nata asht e errët. | Die Nacht ist dunkel.
L2 | 070 | Dita asht e ndritshme. | Der Tag ist hell.
L2 | 071 | Ushqimi asht i nxehtë. | Das Essen ist heiß.
L2 | 072 | Uji asht i ftohtë. | Das Wasser ist kalt.
L2 | 073 | Un kam nji shok të mirë. | Ich habe einen guten Freund.
L2 | 074 | Ajo ka nji mike të dashun. | Sie hat eine liebe Freundin.
L2 | 075 | Mësuesi asht i sjellshëm. | Der Lehrer ist freundlich.
L2 | 076 | Kjo detyrë asht e lehtë. | Diese Aufgabe ist leicht.
L2 | 077 | Ky test asht i rândë. | Dieser Test ist schwer.
L2 | 078 | Un kam nji dhomë të pastër. | Ich habe ein sauberes Zimmer.
L2 | 079 | Ti ke nji çantë të zezë. | Du hast eine schwarze Tasche.
L2 | 080 | Nana ka nji unazë të artë. | Mama hat einen goldenen Ring.
L2 | 081 | Un dua me dalë jashtë. | Ich will nach draußen gehen.
L2 | 082 | Ai shkon në punë me veturë. | Er fährt mit dem Auto zur Arbeit.
L2 | 083 | Ajo shkon në shkollë me autobus. | Sie fährt mit dem Bus zur Schule.
L2 | 084 | Un kam frikë prej errësirës. | Ich habe Angst vor der Dunkelheit.
L2 | 085 | Ai asht i sëmunë sot. | Er ist heute krank.
L2 | 086 | Ajo ka dhimbje koke. | Sie hat Kopfschmerzen.
L2 | 087 | Un shkoj te mjeku. | Ich gehe zum Arzt.
L2 | 088 | Farmácia asht pranë shpisë. | Die Apotheke ist neben dem Haus.
L2 | 089 | Janë shtatë ditë në javë. | Es gibt sieben Tage in der Woche.
L2 | 090 | Nji javë ka shtatë ditë. | Eine Woche hat sieben Tage.
L2 | 091 | Un punoj pesë ditë në javë. | Ich arbeite fünf Tage in der Woche.
L2 | 092 | Djemtë luajnë në park. | Die Jungs spielen im Park.
L2 | 093 | Çikat këndojnë në klasë. | Die Mädchen singen in der Klasse.
L2 | 094 | Un shpesh lexoj para gjumit. | Ich lese oft vor dem Schlafen.
L2 | 095 | Ti ndonjëherë shkon në kinema. | Du gehst manchmal ins Kino.
L2 | 096 | Ajo rrallë pi kafe. | Sie trinkt selten Kaffee.
L2 | 097 | Un dua me të pa sonte. | Ich will dich heute Abend sehen.
L2 | 098 | Hajde me mua në park! | Komm mit mir in den Park!
L2 | 099 | Rri qitu, të lutem! | Bleib hier, bitte!
L2 | 100 | Ulu në karrige! | Setz dich auf den Stuhl!
L2 | 101 | Un fjet në orën dhjetë. | Ich schlafe um zehn Uhr.
L2 | 102 | Ti zgjohesh në orën gjashtë. | Du wachst um sechs Uhr auf.
L2 | 103 | Ai çohet herët në mëngjes. | Er steht früh am Morgen auf.
L2 | 104 | Ajo pushon pasdreke. | Sie ruht sich am Nachmittag aus.
L2 | 105 | Un dua me pi nji gotë ujë. | Ich will ein Glas Wasser trinken.
L2 | 106 | Ai ka nji filxhan kafe. | Er hat eine Tasse Kaffee.
L2 | 107 | Un ha nji mollë në ditë. | Ich esse einen Apfel am Tag.
L2 | 108 | Na bëjmë pazar të shtunën. | Wir machen samstags Einkäufe.
L2 | 109 | Djemtë janë në shkollë. | Die Jungen sind in der Schule.
L2 | 110 | Çikat janë në shpi. | Die Mädchen sind zu Hause.
L2 | 111 | Kjo asht shtëpi e bukur. | Das ist ein schönes Haus.
══════════════════════════════════════════════════
LEVEL 3 — FORTGESCHRITTENE ANFÄNGER — Kombinierte Sätze (dhe/por/ose), Farben, Tage
111 Sätze
══════════════════════════════════════════════════

L3 | 001 | Sot asht e hënë, por nesër asht e martë. | Heute ist Montag, aber morgen ist Dienstag.
L3 | 002 | Ajo ka nji këmishë blu e nji pantallona zeza. | Sie hat ein blaues Hemd und schwarze Hosen.
L3 | 003 | Un jam i lodhun, por s'du me fjet. | Ich bin müde, aber ich will nicht schlafen.
L3 | 004 | A don kafe ose çaj? | Willst du Kaffee oder Tee?
L3 | 005 | Sot bën ftohtë, por nesër bën vapë. | Heute ist es kalt, aber morgen ist es heiß.
L3 | 006 | Un kam nji këmishë të bardhë e nji xhaketë të zezë. | Ich habe ein weißes Hemd und eine schwarze Jacke.
L3 | 007 | Ajo vesh nji fustan të kuq e nji këpucë të zeza. | Sie trägt ein rotes Kleid und schwarze Schuhe.
L3 | 008 | Ai ka nji pantallona xhins e nji fanellë blu. | Er hat eine Jeans und ein blaues T-Shirt.
L3 | 009 | Sot asht e mërkurë, por dje ishte e martë. | Heute ist Mittwoch, aber gestern war Dienstag.
L3 | 010 | Un dua me shkue në punë, por jam sëmunë. | Ich will zur Arbeit gehen, aber ich bin krank.
L3 | 011 | A do me ardhë sot ose nesër? | Willst du heute oder morgen kommen?
L3 | 012 | Kjo asht ora një, por ajo asht ora dy. | Das ist ein Uhr, aber das ist zwei Uhr.
L3 | 013 | Un kam nji shpi të madhe, por ajo asht e vjetër. | Ich habe ein großes Haus, aber es ist alt.
L3 | 014 | Ajo s'ka motër, por ka nji vlla. | Sie hat keine Schwester, aber einen Bruder.
L3 | 015 | Ti s'je i lodhun, por je i sëmunë. | Du bist nicht müde, aber krank.
L3 | 016 | Un s'du me pi kafe, por dua çaj. | Ich will keinen Kaffee, aber Tee.
L3 | 017 | S'asht larg, por asht afër. | Es ist nicht weit, sondern nah.
L3 | 018 | Asht ora tre e gjysmë. | Es ist halb vier.
L3 | 019 | Asht ora katër e pesë. | Es ist fünf nach vier.
L3 | 020 | Asht ora pesë e dhjetë. | Es ist zehn nach fünf.
L3 | 021 | Asht ora tetë pa njizet. | Es ist zwanzig vor acht.
L3 | 022 | Në mëngjes un ha bukë e pi qumësht. | Morgens esse ich Brot und trinke Milch.
L3 | 023 | Ai vesh këmishë të bardhë e kravatë të zezë. | Er trägt ein weißes Hemd und eine schwarze Krawatte.
L3 | 024 | Ajo ka syze dielli e nji kapelë të bardhë. | Sie hat eine Sonnenbrille und einen weißen Hut.
L3 | 025 | Un kam këpucë të zeza e çorape të bardha. | Ich habe schwarze Schuhe und weiße Socken.
L3 | 026 | Sot asht e enjte, por dje ishte e mërkurë. | Heute ist Donnerstag, aber gestern war Mittwoch.
L3 | 027 | Nesër asht e premte, e un gëzohem. | Morgen ist Freitag, und ich freue mich.
L3 | 028 | Të shtunën na shkojmë në pazar. | Samstags gehen wir auf den Markt.
L3 | 029 | Të dielën familja asht bashkë. | Sonntags ist die Familie zusammen.
L3 | 030 | Un punoj prej e hëne deri të premten. | Ich arbeite von Montag bis Freitag.
L3 | 031 | Sot asht e shtunë, por un punoj. | Heute ist Samstag, aber ich arbeite.
L3 | 032 | Ose vin tash, ose vin më vonë. | Entweder komm jetzt, oder komm später.
L3 | 033 | Kjo asht blu, por ajo asht gjelbër. | Das ist blau, aber das ist grün.
L3 | 034 | Un dua nji këmishë të verdhë, jo të zezë. | Ich will ein gelbes Hemd, nicht ein schwarzes.
L3 | 035 | Ajo s'ka kohë sot, por nesër po. | Sie hat heute keine Zeit, aber morgen schon.
L3 | 036 | S'asht vapë sot, por bën ftohtë. | Es ist nicht heiß heute, sondern kalt.
L3 | 037 | Këmisha jote asht e kuqe e shumë e bukur. | Dein Hemd ist rot und sehr schön.
L3 | 038 | Babi asht në punë, e nana asht në shpi. | Papa ist bei der Arbeit, und Mama ist zu Hause.
L3 | 039 | Un s'kam para, por kam kohë. | Ich habe kein Geld, aber Zeit.
L3 | 040 | Ai s'flet shqip, por flet gjermanisht. | Er spricht kein Albanisch, aber Deutsch.
L3 | 041 | Kjo asht verë e kuqe ose verë e bardhë? | Ist das Rotwein oder Weißwein?
L3 | 042 | Un dua me ble pantallona ose nji fund. | Ich will eine Hose oder einen Rock kaufen.
L3 | 043 | Ajo asht në dhomë të ndejës, por un jam në kuzhinë. | Sie ist im Wohnzimmer, aber ich bin in der Küche.
L3 | 044 | Un shkoj në shkollë me biçikletë ose në këmbë. | Ich fahre mit dem Fahrrad zur Schule oder gehe zu Fuß.
L3 | 045 | Shpija jote asht e madhe, por shpija ime asht e vogël. | Dein Haus ist groß, aber mein Haus ist klein.
L3 | 046 | Sot bën shi, por nesër bën diell. | Heute regnet es, aber morgen scheint die Sonne.
L3 | 047 | Un pi kafe në mëngjes e çaj në mbrëmje. | Ich trinke Kaffee am Morgen und Tee am Abend.
L3 | 048 | Ajo s'ha mish, por ha perime. | Sie isst kein Fleisch, sondern Gemüse.
L3 | 049 | Në verë bën vapë, e në dimër bën ftohtë. | Im Sommer ist es heiß, und im Winter ist es kalt.
L3 | 050 | Në pranverë lulëzojnë lulet, e në vjeshtë bien gjethet. | Im Frühling blühen die Blumen, und im Herbst fallen die Blätter.
L3 | 051 | Un dua me shkue në det ose në mal. | Ich will ans Meer oder in die Berge fahren.
L3 | 052 | Ajo ka nji rrip të kaftë e nji çantë të zezë. | Sie hat einen braunen Gürtel und eine schwarze Tasche.
L3 | 053 | Ai vesh nji kostum të zi e nji këmishë të bardhë. | Er trägt einen schwarzen Anzug und ein weißes Hemd.
L3 | 054 | Un dua me ble nji televizor të ri, por s'kam para. | Ich will einen neuen Fernseher kaufen, aber ich habe kein Geld.
L3 | 055 | Kjo librari asht pranë shkollës, por ajo asht larg. | Diese Buchhandlung ist neben der Schule, aber jene ist weit weg.
L3 | 056 | Tash asht ora gjashtë, por un jam vonë. | Jetzt ist es sechs Uhr, aber ich bin spät dran.
L3 | 057 | A don veturë të kuqe ose të zezë? | Willst du ein rotes oder schwarzes Auto?
L3 | 058 | Un jam prej Kosove, por ti je prej Gjermanie. | Ich bin aus dem Kosovo, aber du bist aus Deutschland.
L3 | 059 | Ajo s'asht e martueme, por asht e fejueme. | Sie ist nicht verheiratet, sondern verlobt.
L3 | 060 | Kjo dhomë ka nji shtrat e nji dollap. | Dieses Zimmer hat ein Bett und einen Schrank.
L3 | 061 | Un s'kam motër, por kam dy vllazën. | Ich habe keine Schwester, sondern zwei Brüder.
L3 | 062 | Ky asht libër im, e ai asht libër yt. | Das ist mein Buch, und das ist dein Buch.
L3 | 063 | Babi pi kafe në mëngjes, e nana pi çaj. | Papa trinkt Kaffee am Morgen, und Mama trinkt Tee.
L3 | 064 | Fëmijët janë në shkollë, e prindët janë në punë. | Die Kinder sind in der Schule, und die Eltern sind bei der Arbeit.
L3 | 065 | Un dua me hangër mish ose peshk. | Ich will Fleisch oder Fisch essen.
L3 | 066 | Kjo s'asht e vërtetë, por asht gënjeshtër. | Das ist nicht wahr, sondern eine Lüge.
L3 | 067 | Ai flet shqip dhe gjermanisht shumë mirë. | Er spricht Albanisch und Deutsch sehr gut.
L3 | 068 | Ajo asht e gjatë dhe e bukur. | Sie ist groß und schön.
L3 | 069 | Un jam i shkurtë dhe i fortë. | Ich bin klein und stark.
L3 | 070 | Sot asht e martë, e pasnesër asht e enjte. | Heute ist Dienstag, und übermorgen ist Donnerstag.
L3 | 071 | Në fundjavë un pushoj ose shkoj në mal. | Am Wochenende ruhe ich mich aus oder fahre in die Berge.
L3 | 072 | Kjo asht pallto jote, por kjo asht xhaketa ime. | Das ist dein Mantel, aber das ist meine Jacke.
L3 | 073 | A don me hangër bukë ose oriz? | Willst du Brot oder Reis essen?
L3 | 074 | Un s'du me shkue në punë sot, por duhet. | Ich will heute nicht zur Arbeit gehen, aber ich muss.
L3 | 075 | Ajo ka nji shall të kuq e nji dorashka të zeza. | Sie hat einen roten Schal und schwarze Handschuhe.
L3 | 076 | Un kam nji telefon të ri, por s'punon mirë. | Ich habe ein neues Telefon, aber es funktioniert nicht gut.
L3 | 077 | Kjo s'asht kafe, por asht çaj. | Das ist kein Kaffee, sondern Tee.
L3 | 078 | Dyqani asht në të majtë, e shkolla në të djathtë. | Der Laden ist links, und die Schule ist rechts.
L3 | 079 | Ai s'asht në shpi, por asht në punë. | Er ist nicht zu Hause, sondern bei der Arbeit.
L3 | 080 | A don me ardhë në ora pesë ose në ora gjashtë? | Willst du um fünf oder um sechs kommen?
L3 | 081 | Un s'kam shumë para, por kam nji shpi të mirë. | Ich habe nicht viel Geld, aber ein gutes Haus.
L3 | 082 | Vera asht e nxehtë, e dimri asht i ftohtë. | Der Sommer ist heiß, und der Winter ist kalt.
L3 | 083 | Dje ishte e diel, e sot asht e hënë. | Gestern war Sonntag, und heute ist Montag.
L3 | 084 | Un dua me ble nji makinë të re, por s'mun. | Ich will ein neues Auto kaufen, aber ich kann nicht.
L3 | 085 | Në Prishtinë ka shumë njerëz e shumë vetura. | In Prishtina gibt es viele Menschen und viele Autos.
L3 | 086 | Këmishën e ke të pistë, por pantallonat janë të pastra. | Dein Hemd ist schmutzig, aber die Hose ist sauber.
L3 | 087 | Un ha shpesh mish, por ti ha perime. | Ich esse oft Fleisch, aber du isst Gemüse.
L3 | 088 | Ajo asht e lumtun, se sot asht dita e saj. | Sie ist glücklich, denn heute ist ihr Tag.
L3 | 089 | Babi asht i gjatë e i fortë. | Papa ist groß und stark.
L3 | 090 | Nana asht e shkurtë e e ëmbël. | Mama ist klein und süß.
L3 | 091 | Un dua me shkue në xhami ose në kishë. | Ich will in die Moschee oder in die Kirche gehen.
L3 | 092 | Kjo asht ora nëntë e gjysmë e mëngjesit. | Das ist halb zehn Uhr morgens.
L3 | 093 | Un çohem në ora pesë, por ti çohesh në ora shtatë. | Ich stehe um fünf Uhr auf, aber du stehst um sieben Uhr auf.
L3 | 094 | Ajo shkon në palestër të martën e të enjten. | Sie geht dienstags und donnerstags ins Fitnessstudio.
L3 | 095 | Un shkoj në xhami të premten. | Ich gehe freitags in die Moschee.
L3 | 096 | Këpucët e tua janë të zeza, por të mijat janë të kafta. | Deine Schuhe sind schwarz, aber meine sind braun.
L3 | 097 | Sot bën shumë ftohtë, por un s'kam xhaketë. | Heute ist es sehr kalt, aber ich habe keine Jacke.
L3 | 098 | Un s'du me dalë sot, se jam i lodhun. | Ich will heute nicht ausgehen, denn ich bin müde.
L3 | 099 | Gjyshja gatuan byrek ose bakllavë. | Oma kocht Börek oder Baklava.
L3 | 100 | A don me hangër petulla ose fli? | Willst du Pfannkuchen oder Flia essen?
L3 | 101 | Un s'di me folë shqip shumë mirë, por po mësoj. | Ich kann nicht sehr gut Albanisch, aber ich lerne.
L3 | 102 | Ajo s'ka fëmijë, por ka nji qen e nji macë. | Sie hat keine Kinder, aber einen Hund und eine Katze.
L3 | 103 | Djalë luan futbol, e çikë luan me kukulla. | Der Junge spielt Fußball, und das Mädchen spielt mit Puppen.
L3 | 104 | Në shpi kemi nji kuzhinë të madhe e nji banjë të vogël. | Zu Hause haben wir eine große Küche und ein kleines Badezimmer.
L3 | 105 | Un pi ujë, e ti pi lëng. | Ich trinke Wasser, und du trinkst Saft.
L3 | 106 | Kjo rrugë asht e ngushtë, por ajo asht e gjerë. | Diese Straße ist eng, aber jene ist breit.
L3 | 107 | Kjo pantallona asht e shkurtë ose e gjatë? | Diese Hose ist kurz oder lang?
L3 | 108 | Ajo s'vjen sot, por vjen nesër. | Sie kommt nicht heute, sondern morgen.
L3 | 109 | Un kam nji dhëmbë e më dhemb. | Ich habe einen Zahn, und er tut weh.
L3 | 110 | Un shkoj te dentisti të martën ose të mërkurën. | Ich gehe dienstags oder mittwochs zum Zahnarzt.
L3 | 111 | Tash asht ora dhjetë e natës, e un fjet. | Jetzt ist zehn Uhr nachts, und ich schlafe.
══════════════════════════════════════════════════
LEVEL 4 — MITTELSTUFE I — Vergangenheit, Zukunft, Arbeit, Bildung
112 Sätze
══════════════════════════════════════════════════

L4 | 001 | Dje kam shkue n'shkollë. | Gestern bin ich zur Schule gegangen.
L4 | 002 | Nesër do të shof mjekun. | Morgen werde ich den Arzt sehen.
