═══════════════════════════════════════════════════════════════════════════════════
  GHEG (KOSOVO-ALBANISCH) BEISPILLSÄTZE — LEVEL 4 bis 6 (MITTELSTUFE)
  Dialekt: Gheg (Kosovo-Variante) — ~333 Sätze
  Format: Level | # | Gheg (Kosovo) | Deutsch
Level 4 | 25 | Dje kam mësue shumë fjalë të reja shqip. | Gestern habe ich viele neue albanische Wörter gelernt.
Level 4 | 26 | Sot kemi provimin e historisë. | Heute haben wir die Geschichtsprüfung.
Level 4 | 27 | Nesër do të vizitoj gjyshin n'fshat. | Morgen werde ich den Großvater im Dorf besuchen.
Level 4 | 28 | Dje kam shkru nje letër të gjatë. | Gestern habe ich einen langen Brief geschrieben.
Level 4 | 29 | Tash punoj si programues n'nji kompani. | Jetzt arbeite ich als Programmierer in einer Firma.
Level 4 | 30 | Kam mbarue fakultetin e ekonomisë. | Ich habe die wirtschaftliche Fakultät abgeschlossen.
Level 4 | 31 | Dje babi ka blerë nji veturë të re. | Gestern hat Papa ein neues Auto gekauft.
Level 4 | 32 | Nesër do të kem nji takim të rëndësishëm. | Morgen werde ich eine wichtige Besprechung haben.
Level 4 | 33 | Sot kam mësue gjuhën gjermane n'shkollë. | Heute habe ich Deutsch in der Schule gelernt.
Level 4 | 34 | A ke punu ndonjëherë si kamarier? | Hast du jemals als Kellner gearbeitet?
Level 4 | 35 | Dje kemi shkue n'kinema me pa nji film. | Gestern sind wir ins Kino gegangen, um einen Film zu sehen.
Level 4 | 36 | Pastaj kam shkue n'shtepi me pushue. | Danach bin ich nach Hause gegangen, um mich auszuruhen.
Level 4 | 37 | Nesër do të shkoj n'Prishtinë me punë. | Morgen werde ich nach Pristina zur Arbeit fahren.
Level 4 | 38 | Dje studentët kanë ba nji prezentim. | Gestern haben die Studenten eine Präsentation gemacht.
Level 4 | 39 | Tash po mësoj për provimin e biologjisë. | Jetzt lerne ich für die Biologieprüfung.
Level 4 | 40 | Kam shkue n'shkollë fillore n'Prishtinë. | Ich bin in Pristina zur Grundschule gegangen.
Level 4 | 41 | Dje kam hangër drekë me shokët. | Gestern habe ich Mittagessen mit Freunden gegessen.
Level 4 | 42 | Nesër vllai do të nis punën e re. | Morgen wird mein Bruder die neue Arbeit beginnen.
Level 4 | 43 | Sot profesorët kanë korrigjue provimet. | Heute haben die Professoren die Prüfungen korrigiert.
Level 4 | 44 | A ki mësue shqip n'shkollë? | Hast du Albanisch in der Schule gelernt?
Level 4 | 45 | Dje kam lajmëru shefin për projektin. | Gestern habe ich den Chef über das Projekt informiert.
Level 4 | 46 | Pastaj do të shkruaj nji report për punë. | Danach werde ich einen Bericht für die Arbeit schreiben.
Level 4 | 47 | Kam punu si shitës për gjashtë muaj. | Ich habe sechs Monate als Verkäufer gearbeitet.
Level 4 | 48 | Dje motra ka fillue kursin e gjermanishtes. | Gestern hat meine Schwester den Deutschkurs begonnen.
Level 4 | 49 | Nesër do të kem nji ligjëratë n'universitet. | Morgen werde ich eine Vorlesung an der Universität haben.
Level 4 | 50 | Tash po përgatis detyrat e shtepisë. | Jetzt bereite ich die Hausaufgaben vor.
Level 4 | 51 | Dje kemi ba nji ushtrim në klasë. | Gestern haben wir eine Übung in der Klasse gemacht.
Level 4 | 52 | A ke shkue n'shkollë sot? | Bist du heute zur Schule gegangen?
Level 4 | 53 | Nesër do të takoj mjekun n'ambulantë. | Morgen werde ich den Arzt in der Praxis treffen.
Level 4 | 54 | Sot kam marrë nji notë të mirë n'provim. | Heute habe ich eine gute Note in der Prüfung bekommen.
Level 4 | 55 | Dje kam shkue n'pazar me blejtë perime. | Gestern bin ich zum Markt gegangen, um Gemüse zu kaufen.
Level 4 | 56 | Pastaj do të shkoj n'palester me stërvitë. | Danach werde ich ins Fitnessstudio gehen, um zu trainieren.
Level 4 | 57 | Kam punu si sekretar për dy vjet. | Ich habe zwei Jahre als Sekretär gearbeitet.
Level 4 | 58 | Dje nxënësit kanë mësue për historinë. | Gestern haben die Schüler über Geschichte gelernt.
Level 4 | 59 | Nesër do të filloj kursin e fizikës. | Morgen werde ich den Physikkurs beginnen.
Level 4 | 60 | Vllai im ka studjue n'Gjermani. | Mein Bruder hat in Deutschland studiert.
Level 4 | 61 | Dje kemi shkue n'ekskursion me shkollën. | Gestern sind wir mit der Schule auf Exkursion gegangen.
Level 4 | 62 | Tash jam tu punu n'nji projekt të ri. | Jetzt arbeite ich an einem neuen Projekt.
Level 4 | 63 | A ke ba detyrat e shtepisë dje? | Hast du gestern die Hausaufgaben gemacht?
Level 4 | 64 | Nesër do të vizitoj fakultetin e ri. | Morgen werde ich die neue Fakultät besuchen.
Level 4 | 65 | Dje kam marrë nji diplomë n'arsim. | Gestern habe ich ein Diplom in Bildung bekommen.
Level 4 | 66 | Sot po punoj si avokat n'nji firmë. | Heute arbeite ich als Anwalt in einer Firma.
Level 4 | 67 | Pastaj kam shkue n'shtepi me ba darkë. | Danach bin ich nach Hause gegangen, um Abendessen zu machen.
Level 4 | 68 | Dje mësuesi ka dhânë nji detyrë të re. | Gestern hat der Lehrer eine neue Aufgabe gegeben.
Level 4 | 69 | Nesër do të kem nji takim me klientët. | Morgen werde ich ein Treffen mit den Kunden haben.
Level 4 | 70 | Kam shkue n'shkollë të mesme n'Prishtinë. | Ich bin in Pristina zur Mittelschule gegangen.
Level 4 | 71 | Dje kam lexue nji libër shumë të bukur. | Gestern habe ich ein sehr schönes Buch gelesen.
Level 4 | 72 | Tash po përgatem për provimin e kimisë. | Jetzt bereite ich mich auf die Chemieprüfung vor.
Level 4 | 73 | A ke punu si mësues ndonjëherë? | Hast du jemals als Lehrer gearbeitet?
Level 4 | 74 | Dje motra ka mbarue gjimnazin. | Gestern hat meine Schwester das Gymnasium abgeschlossen.
Level 4 | 75 | Nesër do të shkoj n'zyrë herët n'mëngjes. | Morgen werde ich früh am Morgen ins Büro gehen.
Level 4 | 76 | Sot kam nënshkru kontratën e re. | Heute habe ich den neuen Vertrag unterschrieben.
Level 4 | 77 | Pastaj do të shkoj n'bibliotekë me lexue. | Danach werde ich in die Bibliothek gehen, um zu lesen.
Level 4 | 78 | Dje kam pi kafe me kolegët n'punë. | Gestern habe ich Kaffee mit den Kollegen bei der Arbeit getrunken.
Level 4 | 79 | Kam studjue gjuhë të huaja n'universitet. | Ich habe Fremdsprachen an der Universität studiert.
Level 4 | 80 | A ki shkue n'shkollë fillore n'fshat? | Bist du im Dorf zur Grundschule gegangen?
Level 4 | 81 | Nesër do të kem nji seminar të rëndësishëm. | Morgen werde ich ein wichtiges Seminar haben.
Level 4 | 82 | Dje kam ba nji vizitë te mjeku. | Gestern habe ich einen Besuch beim Arzt gemacht.
Level 4 | 83 | Tash po mësoj për provimin e gjeografisë. | Jetzt lerne ich für die Geografieprüfung.
Level 4 | 84 | Vllai ka punu si zdrukthëtar për pesë vjet. | Mein Bruder hat fünf Jahre als Tischler gearbeitet.
Level 4 | 85 | Dje kemi shkue n'treg me blejtë fruta. | Gestern sind wir zum Markt gegangen, um Obst zu kaufen.
Level 4 | 86 | Sot kam marrë nji notë të lartë n'provim. | Heute habe ich eine hohe Note in der Prüfung bekommen.
Level 4 | 87 | Nesër do të nis punën n'fabrikë. | Morgen werde ich die Arbeit in der Fabrik beginnen.
Level 4 | 88 | Pastaj kam shkue n'gjimnaz për katër vjet. | Danach bin ich vier Jahre aufs Gymnasium gegangen.
Level 4 | 89 | Dje babi ka punu gjithë natën. | Gestern hat Papa die ganze Nacht gearbeitet.
Level 4 | 90 | A ki mbarue shkollën e mesme? | Hast du die Mittelschule abgeschlossen?
Level 4 | 91 | Tash po kërkoj nji punë të re. | Jetzt suche ich einen neuen Job.
Level 4 | 92 | Dje kam shkue në kurs të gjermanishtes. | Gestern bin ich zum Deutschkurs gegangen.
Level 4 | 93 | Nesër do të kem nji provim të vështirë. | Morgen werde ich eine schwierige Prüfung haben.
Level 4 | 94 | Kam punu si elektricist për shtatë vjet. | Ich habe sieben Jahre als Elektriker gearbeitet.
Level 4 | 95 | Dje kemi ba nji ushtrim të gjatë n'shkollë. | Gestern haben wir eine lange Übung in der Schule gemacht.
Level 4 | 96 | Sot jam tu përgatit për ligjëratën. | Heute bereite ich mich auf die Vorlesung vor.
Level 4 | 97 | Nesër do të shkoj n'universitet me studjue. | Morgen werde ich zur Universität gehen, um zu studieren.
Level 4 | 98 | Dje kam fjet vonë për shkak të provimit. | Gestern habe ich wegen der Prüfung spät geschlafen.
Level 4 | 99 | Pastaj do të vij n'shtepi me pushue. | Danach werde ich nach Hause kommen, um mich auszuruhen.
Level 4 | 100 | A ke punu si kuzhinier n'ndonjë restorant? | Hast du in einem Restaurant als Koch gearbeitet?
Level 4 | 101 | Dje motra ka studjue gjithë ditën. | Gestern hat meine Schwester den ganzen Tag gelernt.
Level 4 | 102 | Nesër do të kem nji test të gjuhës shqipe. | Morgen werde ich einen Test in albanischer Sprache haben.
Level 4 | 103 | Tash jam tu punu n'nji projekt shkollor. | Jetzt arbeite ich an einem Schulprojekt.
Level 4 | 104 | Dje kam marrë nji certifikatë për gjermanisht. | Gestern habe ich ein Zertifikat für Deutsch bekommen.
Level 4 | 105 | Kam shkue n'kolegj për dy vjet. | Ich bin zwei Jahre aufs College gegangen.
Level 4 | 106 | Sot profesorët kanë shpallë rezultatet. | Heute haben die Professoren die Ergebnisse bekanntgegeben.
Level 4 | 107 | Nesër do të filloj stazhin n'nji kompani. | Morgen werde ich ein Praktikum in einer Firma beginnen.
Level 4 | 108 | Dje kam përgatit nji raport për shefin. | Gestern habe ich einen Bericht für den Chef vorbereitet.
Level 4 | 109 | A ki shkue n'shkollë të mesme n'Prishtinë? | Bist du in Pristina zur Mittelschule gegangen?
Level 4 | 110 | Tash po shkruaj nji artikull për gazetën. | Jetzt schreibe ich einen Artikel für die Zeitung.
Level 4 | 111 | Pastaj do të vij n'shkollë me marrë librat. | Danach werde ich in die Schule kommen, um die Bücher zu holen.
Level 4 | 112 | Dje kam shkue n'ambulantë me kontrollue shëndetin. | Gestern bin ich zur Praxis gegangen, um die Gesundheit zu checken.


═══════════════════════════════════════════════════════════════════════════════════
  LEVEL 5 — GEFÜHLE / MEINUNGEN, ADJEKTIVE GESTEIGERT, WETTER / NATUR / TIERE
  (~111 Sätze)
═══════════════════════════════════════════════════════════════════════════════════

Level 5 | 1 | Jam tu u gëzu shumë, sepse sot asht mot i bukur. | Ich freue mich sehr, weil heute schönes Wetter ist.
Level 5 | 2 | Qeni asht i madh, ndërsa macja asht e vogël. | Der Hund ist groß, während die Katze klein ist.
Level 5 | 3 | Kjo pemë asht më e lartë se ajo. | Dieser Baum ist höher als jener.
Level 5 | 4 | Jam i trishtuem, sepse moti asht i keq. | Ich bin traurig, weil das Wetter schlecht ist.
Level 5 | 5 | Dielli shkëlqen fort sot, ndërsa dje ka pasë shi. | Die Sonne scheint heute sehr, während es gestern geregnet hat.
Level 5 | 6 | Dhelpra asht më e shpejtë se lepuri. | Der Fuchs ist schneller als der Hase.
Level 5 | 7 | Kam besim se do të kaloj provimin. | Ich habe Vertrauen, dass ich die Prüfung bestehen werde.
Level 5 | 8 | Kjo lule asht më e bukur se ajo. | Diese Blume ist schöner als jene.
Level 5 | 9 | Ai asht shumë i gëzuem, sepse ka fitue në garë. | Er ist sehr fröhlich, weil er im Wettkampf gewonnen hat.
Level 5 | 10 | Era fryn fort sot, ndërsa dje ka pasë qetësi. | Der Wind weht heute stark, während es gestern ruhig war.
Level 5 | 11 | Shqiponja asht më e madhe se harabeli. | Der Adler ist größer als der Spatz.
Level 5 | 12 | Jam i lodhun, sepse kam punu gjithë ditën. | Ich bin müde, weil ich den ganzen Tag gearbeitet habe.
Level 5 | 13 | Mali asht më i lartë se bregu. | Der Berg ist höher als der Hügel.
Level 5 | 14 | A je i kënaqun me provimin? | Bist du zufrieden mit der Prüfung?
Level 5 | 15 | Lopa asht e madhe, ndërsa viçi asht i vogël. | Die Kuh ist groß, während das Kalb klein ist.
Level 5 | 16 | Sot bën më ngrohtë se dje. | Heute ist es wärmer als gestern.
Level 5 | 17 | Jam i shqetësuem, sepse s'kam lajme prej vllait. | Ich bin besorgt, weil ich keine Nachrichten von meinem Bruder habe.
Level 5 | 18 | A e dashnon natyrën? — Po, shumë. | Liebst du die Natur? — Ja, sehr.
Level 5 | 19 | Ujku asht më i rrezikshëm se dhelpra. | Der Wolf ist gefährlicher als der Fuchs.
Level 5 | 20 | Jam shumë i lumtun, sepse sot asht ditëlindja ime. | Ich bin sehr glücklich, weil heute mein Geburtstag ist.
Level 5 | 21 | Ajo asht më e re se motra e saj. | Sie ist jünger als ihre Schwester.
Level 5 | 22 | Kam dashuni të madhe për familjen time. | Ich habe große Liebe für meine Familie.
Level 5 | 23 | Qeni asht më besnik se macja. | Der Hund ist treuer als die Katze.
Level 5 | 24 | Sot po bjen shi, ndërsa nesër do të ketë diell. | Heute regnet es, während es morgen sonnig sein wird.
Level 5 | 25 | Jam i frikësuem, sepse ka stuhi jashtë. | Ich habe Angst, weil draußen ein Sturm ist.
Level 5 | 26 | Kali asht më i shpejtë se gomari. | Das Pferd ist schneller als der Esel.
Level 5 | 27 | Kjo shtëpi asht më e madhe se ajo. | Dieses Haus ist größer als jenes.
Level 5 | 28 | Moti sot asht më i mirë se dje. | Das Wetter heute ist besser als gestern.
Level 5 | 29 | Kam shpresë se do të shërohem shpejt. | Ich habe Hoffnung, dass ich schnell gesund werde.
Level 5 | 30 | Gjeli këndon n'mëngjes, ndërsa bufi fle ditën. | Der Hahn singt am Morgen, während die Eule tagsüber schläft.
Level 5 | 31 | A je i zemëruem me mua? | Bist du wütend auf mich?
Level 5 | 32 | Lumi asht më i gjatë se përroi. | Der Fluss ist länger als der Bach.
Level 5 | 33 | Jam krenar për djalin tim, sepse ka kalu provimin. | Ich bin stolz auf meinen Sohn, weil er die Prüfung bestanden hat.
Level 5 | 34 | Pylli asht më i errët se livadhi. | Der Wald ist dunkler als die Wiese.
Level 5 | 35 | Sot ndihem më mirë se dje. | Heute fühle ich mich besser als gestern.
Level 5 | 36 | A ke pa ariun n'pyll? — Jo, s'e kam pa. | Hast du den Bären im Wald gesehen? — Nein, habe ich nicht.
Level 5 | 37 | Kam mall për familjen, sepse janë larg. | Ich habe Heimweh nach der Familie, weil sie weit weg sind.
Level 5 | 38 | Kjo rrugë asht më e ngushtë se ajo. | Diese Straße ist enger als jene.
Level 5 | 39 | Ajo asht shumë e dashun për fëmijët. | Sie ist sehr liebevoll zu den Kindern.
Level 5 | 40 | Në verë bën më nxehtë se n'pranverë. | Im Sommer ist es heißer als im Frühling.
Level 5 | 41 | Jam i befasuem, sepse ke ardhë herët. | Ich bin überrascht, weil du früh gekommen bist.
Level 5 | 42 | Shpendi fluturon lart, ndërsa peshku noton n'ujë. | Der Vogel fliegt hoch, während der Fisch im Wasser schwimmt.
Level 5 | 43 | Kjo pemë asht më e vjetër se ajo. | Dieser Baum ist älter als jener.
Level 5 | 44 | A të pëlqen dimri apo vera? | Magst du den Winter oder den Sommer?
Level 5 | 45 | Jam i uritur, sepse s'kam hangër mëngjes. | Ich bin hungrig, weil ich kein Frühstück gegessen habe.
Level 5 | 46 | Breshka asht më e ngadaltë se lepuri. | Die Schildkröte ist langsamer als der Hase.
Level 5 | 47 | Në vjeshtë gjethet bien, ndërsa n'pranverë rriten. | Im Herbst fallen die Blätter, während sie im Frühling wachsen.
Level 5 | 48 | A po gëzohesh për pushimet? | Freust du dich auf die Ferien?
Level 5 | 49 | Borë ka më shumë n'mal se n'fushë. | Es gibt mehr Schnee auf dem Berg als im Feld.
Level 5 | 50 | Pula asht e vogël, ndërsa gjeli asht i madh. | Das Huhn ist klein, während der Hahn groß ist.
Level 5 | 51 | Kam besim te shoku im më i mirë. | Ich vertraue meinem besten Freund.
Level 5 | 52 | Ajo asht më e gjatë se unë. | Sie ist größer als ich.
Level 5 | 53 | Jam i mërzitun, sepse s'mund të dal sot. | Ich bin traurig, weil ich heute nicht ausgehen kann.
Level 5 | 54 | Ketri asht më i shpejtë se kërmilli. | Das Eichhörnchen ist schneller als die Schnecke.
Level 5 | 55 | Në dimër bën më ftohtë se n'vjeshtë. | Im Winter ist es kälter als im Herbst.
Level 5 | 56 | A ndje dashuni për këtë vend? | Fühlst du Liebe für dieses Land?
Level 5 | 57 | Kam frikë nga stuhitë, sepse janë të rrezikshme. | Ich habe Angst vor Stürmen, weil sie gefährlich sind.
Level 5 | 58 | Ariu asht më i fortë se ujku. | Der Bär ist stärker als der Wolf.
Level 5 | 59 | Sot qielli asht i kthjellët, ndërsa dje ka pasë re. | Heute ist der Himmel klar, während es gestern Wolken gab.
Level 5 | 60 | Jam mirënjohës për ndihmën tënde. | Ich bin dankbar für deine Hilfe.
Level 5 | 61 | Ajo asht më e lumtun se unë sot. | Sie ist heute glücklicher als ich.
Level 5 | 62 | Macja luan me top, ndërsa qeni fle. | Die Katze spielt mit dem Ball, während der Hund schläft.
Level 5 | 63 | Më pëlqen natyra, sepse asht e qetë. | Ich mag die Natur, weil sie ruhig ist.
Level 5 | 64 | Ky liqen asht më i thellë se ai. | Dieser See ist tiefer als jener.
Level 5 | 65 | Sa bukur që po fryn era sot! | Wie schön der Wind heute weht!
Level 5 | 66 | Jam i pasigurt për provimin e nesërm. | Ich bin unsicher wegen der morgigen Prüfung.
Level 5 | 67 | Flutura asht më e lehtë se milingona. | Der Schmetterling ist leichter als die Ameise.
Level 5 | 68 | Në pranverë lulëzojnë lulet, ndërsa në vjeshtë vyshken. | Im Frühling blühen die Blumen, während sie im Herbst welken.
Level 5 | 69 | A të pëlqejnë kafshët e egra? | Magst du die wilden Tiere?
Level 5 | 70 | Ky mal asht më i bukuri në Kosovë. | Dieser Berg ist der schönste im Kosovo.
Level 5 | 71 | Jam i nevrikosun, sepse autobusi vonon. | Ich bin nervös, weil der Bus Verspätung hat.
Level 5 | 72 | Peshku noton n'ujë, ndërsa shpendi fluturon n'qiell. | Der Fisch schwimmt im Wasser, während der Vogel am Himmel fliegt.
Level 5 | 73 | Ajo asht më e reja në familje. | Sie ist die Jüngste in der Familie.
Level 5 | 74 | Sot ndihem i lumtun, sepse moti asht i mirë. | Heute fühle ich mich glücklich, weil das Wetter gut ist.
Level 5 | 75 | Jam xheloz, sepse vllai ka veturë të re. | Ich bin eifersüchtig, weil mein Bruder ein neues Auto hat.
Level 5 | 76 | Gjarpri asht më i rrezikshëm se hardhuca. | Die Schlange ist gefährlicher als die Eidechse.
Level 5 | 77 | Në dimër bie borë, ndërsa në verë shkëlqen dielli. | Im Winter schneit es, während im Sommer die Sonne scheint.
Level 5 | 78 | A ke interesim për muzikë? | Hast du Interesse an Musik?
Level 5 | 79 | Kjo lule asht më e vogël se ajo. | Diese Blume ist kleiner als jene.
Level 5 | 80 | Jam i dëshpëruem, sepse s'kalova provimin. | Ich bin verzweifelt, weil ich die Prüfung nicht bestanden habe.
Level 5 | 81 | Delet kullosin në livadh, ndërsa lopët janë n'stallë. | Die Schafe grasen auf der Wiese, während die Kühe im Stall sind.
Level 5 | 82 | Më pëlqen vera më shumë se dimri. | Ich mag den Sommer mehr als den Winter.
Level 5 | 83 | A ke frikë nga gjarpërinjtë? | Hast du Angst vor Schlangen?
Level 5 | 84 | Ky qen asht më besniku që kam pa. | Dieser Hund ist der treueste, den ich gesehen habe.
Level 5 | 85 | Sot ndihem keq, sepse kam dhimbje koke. | Heute fühle ich mich schlecht, weil ich Kopfschmerzen habe.
Level 5 | 86 | Dielli asht më i ndritshëm se hana. | Die Sonne ist heller als der Mond.
Level 5 | 87 | A je i gatshëm për shëtitje në mal? | Bist du bereit für eine Wanderung im Berg?
Level 5 | 88 | Kam zili për suksesin e shokut. | Ich bin neidisch auf den Erfolg meines Freundes.
Level 5 | 89 | Bleta asht më punëtore se flutura. | Die Biene ist fleißiger als der Schmetterling.
Level 5 | 90 | Sa bukur shkëlqejnë yjet sonte! | Wie schön die Sterne heute Nacht leuchten!
Level 5 | 91 | Jam i stresuem, sepse kam shumë punë. | Ich bin gestresst, weil ich viel Arbeit habe.
Level 5 | 92 | Lepuri asht më i vogël se ariu. | Der Hase ist kleiner als der Bär.
Level 5 | 93 | Më pëlqen natyra, ndërsa vllait i pëlqen qyteti. | Ich mag die Natur, während mein Bruder die Stadt mag.
Level 5 | 94 | A ndje dashuni për këtë kafshë? | Fühlst du Liebe für dieses Tier?
Level 5 | 95 | Ky lumë asht më i pastri në rajon. | Dieser Fluss ist der sauberste in der Region.
Level 5 | 96 | Jam i qetë, sepse jam në natyrë. | Ich bin ruhig, weil ich in der Natur bin.
Level 5 | 97 | Kalërimi asht më i vështirë se çiklizmi. | Reiten ist schwieriger als Radfahren.
Level 5 | 98 | Sot asht mot i nxehtë, ndërsa nesër do të jetë më freskët. | Heute ist heißes Wetter, während es morgen kühler sein wird.
Level 5 | 99 | A e dashnon babanë tënd? — Po, shumë. | Liebst du deinen Vater? — Ja, sehr.
Level 5 | 100 | Majmuni asht më i zgjuar se derri. | Der Affe ist klüger als das Schwein.
Level 5 | 101 | Më pëlqen të shëtis në pyll, sepse ajri asht i pastër. | Ich mag es, im Wald spazieren zu gehen, weil die Luft sauber ist.
Level 5 | 102 | Ai asht më i riu në klasën tonë. | Er ist der Jüngste in unserer Klasse.
Level 5 | 103 | Në pranverë dëgjoj zogjtë, ndërsa në dimër fryn era. | Im Frühling höre ich die Vögel, während im Winter der Wind weht.
Level 5 | 104 | Kam frikë nga bubullimat, sepse janë të forta. | Ich habe Angst vor Donner, weil er laut ist.
Level 5 | 105 | A po mendon se vera asht më e mirë se dimri? | Denkst du, dass der Sommer besser ist als der Winter?
Level 5 | 106 | Më pëlqen shiu, sepse freskon ajrin. | Ich mag den Regen, weil er die Luft erfrischt.
Level 5 | 107 | Jam shumë i dashun për familjen time. | Ich bin meiner Familie sehr zugetan.
Level 5 | 108 | Kjo lule asht më e bukura në kopsht. | Diese Blume ist die schönste im Garten.
Level 5 | 109 | Sot kam gëzim të madh, sepse vjen nana. | Heute habe ich große Freude, weil Mama kommt.
Level 5 | 110 | Në verë bën vapë, ndërsa në dimër bën ftohtë. | Im Sommer ist es heiß, während es im Winter kalt ist.
Level 5 | 111 | A beson se natyrën duhet me e mbrojtë? | Glaubst du, dass man die Natur schützen muss?
Level 5 | 112 | Ky mal asht më i larti në Kosovë, sepse ka shumë borë. | Dieser Berg ist der höchste im Kosovo, weil er viel Schnee hat.


═══════════════════════════════════════════════════════════════════════════════════
  LEVEL 6 — REISEN, TRANSPORT, WEGBESCHREIBUNGEN, EINKAUFEN, GELD, TECHNOLOGIE
  (~111 Sätze)
═══════════════════════════════════════════════════════════════════════════════════

Level 6 | 1 | A je tu shkue n'treg me blejtë ca mollë? | Gehst du zum Markt um ein paar Äpfel zu kaufen?
Level 6 | 2 | Autobusi që shkon n'Prishtinë niset n'ora pesë. | Der Bus, der nach Pristina fährt, startet um fünf Uhr.
Level 6 | 3 | Sa kushton kjo veturë që po shof? | Wie viel kostet dieses Auto, das ich sehe?
Level 6 | 4 | Kam blejtë nji telefon të ri që ka kamër të mirë. | Ich habe ein neues Telefon gekauft, das eine gute Kamera hat.
Level 6 | 5 | A mund të më tregosh kah asht stacioni i autobusit? | Kannst du mir zeigen, wo die Bushaltestelle ist?
Level 6 | 6 | Kjo çantë kushton shumë, por ajo asht më e lirë. | Diese Tasche kostet viel, aber jene ist billiger.
Level 6 | 7 | Furgoni që shkon n'Prizren niset n'ora gjashtë. | Der Kleinbus, der nach Prizren fährt, startet um sechs Uhr.
Level 6 | 8 | Sa para ke shpenzue për blerje sot? | Wie viel Geld hast du heute für Einkäufe ausgegeben?
Level 6 | 9 | Kompjuteri që kam blejtë asht shumë i shpejtë. | Der Computer, den ich gekauft habe, ist sehr schnell.
Level 6 | 10 | Kthehu majtas në semafor, pastaj vazhdo drejt. | Bieg an der Ampel links ab, dann fahr geradeaus.
Level 6 | 11 | A ke para të mjaftueshme për biletë? | Hast du genug Geld für ein Ticket?
Level 6 | 12 | Kjo rrugë që shkon në qendër asht shumë e ngarkume. | Diese Straße, die ins Zentrum führt, ist sehr befahren.
Level 6 | 13 | Kam porositë nji laptop të ri për punë. | Ich habe einen neuen Laptop für die Arbeit bestellt.
Level 6 | 14 | A din kah asht marketi më i afërm? | Weißt du, wo der nächste Supermarkt ist?
Level 6 | 15 | Sa larg asht stacioni i trenit prej këtu? | Wie weit ist der Bahnhof von hier?
Level 6 | 16 | Kjo kartelë bankare më lejon me paguë online. | Diese Bankkarte erlaubt mir, online zu bezahlen.
Level 6 | 17 | A shesin mollë në këtë treg? | Verkaufen sie Äpfel auf diesem Markt?
